cod_ine,fecha,municipio_x,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
80202,2020-06-19,Guayaramerín,16,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-06-20,Guayaramerín,8,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-06-22,Guayaramerín,14,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-06-23,Guayaramerín,8,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-06-24,Guayaramerín,12,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-06-25,Guayaramerín,5,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-06-26,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-06-29,Guayaramerín,5,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-07-03,Guayaramerín,18,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-07-07,Guayaramerín,27,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-07-08,Guayaramerín,33,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-07-09,Guayaramerín,18,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-07-10,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-07-15,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-08-06,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-08-13,Guayaramerín,5,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-08-25,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-08-31,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-09-01,Guayaramerín,11,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-09-07,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-09-08,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-09-12,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-09-16,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-09-23,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-10-01,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-12-08,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-12-12,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-12-16,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-12-19,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-12-24,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2020-12-30,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-01,Guayaramerín,8,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-04,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-05,Guayaramerín,16,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-06,Guayaramerín,13,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-07,Guayaramerín,22,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-09,Guayaramerín,18,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-13,Guayaramerín,12,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-14,Guayaramerín,7,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-15,Guayaramerín,11,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-16,Guayaramerín,18,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-17,Guayaramerín,18,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-18,Guayaramerín,27,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-19,Guayaramerín,12,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-20,Guayaramerín,5,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-22,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-23,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-25,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-27,Guayaramerín,8,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-28,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-29,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-30,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-01-31,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-01,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-02,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-04,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-05,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-06,Guayaramerín,5,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-09,Guayaramerín,10,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-11,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-13,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-17,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-18,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-20,Guayaramerín,13,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-23,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-24,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-25,Guayaramerín,5,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-27,Guayaramerín,5,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-02-28,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-01,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-03,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-04,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-06,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-09,Guayaramerín,16,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-11,Guayaramerín,17,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-12,Guayaramerín,25,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-13,Guayaramerín,8,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-14,Guayaramerín,18,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-17,Guayaramerín,51,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-18,Guayaramerín,13,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-20,Guayaramerín,30,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-21,Guayaramerín,11,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-22,Guayaramerín,8,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-23,Guayaramerín,34,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-24,Guayaramerín,44,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-25,Guayaramerín,19,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-26,Guayaramerín,17,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-27,Guayaramerín,13,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-28,Guayaramerín,11,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-29,Guayaramerín,37,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-30,Guayaramerín,22,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-03-31,Guayaramerín,17,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-01,Guayaramerín,23,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-02,Guayaramerín,59,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-03,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-04,Guayaramerín,43,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-09,Guayaramerín,32,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-10,Guayaramerín,62,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-11,Guayaramerín,71,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-12,Guayaramerín,51,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-13,Guayaramerín,70,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-14,Guayaramerín,12,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-15,Guayaramerín,33,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-16,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-17,Guayaramerín,19,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-18,Guayaramerín,37,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-19,Guayaramerín,57,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-20,Guayaramerín,26,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-21,Guayaramerín,7,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-22,Guayaramerín,39,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-23,Guayaramerín,12,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-24,Guayaramerín,58,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-26,Guayaramerín,37,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-27,Guayaramerín,14,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-28,Guayaramerín,7,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-29,Guayaramerín,24,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-04-30,Guayaramerín,26,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-01,Guayaramerín,14,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-03,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-04,Guayaramerín,40,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-05,Guayaramerín,57,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-06,Guayaramerín,9,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-07,Guayaramerín,9,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-08,Guayaramerín,9,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-09,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-10,Guayaramerín,13,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-11,Guayaramerín,15,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-12,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-13,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-14,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-20,Guayaramerín,10,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-24,Guayaramerín,11,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-25,Guayaramerín,13,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-27,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-29,Guayaramerín,8,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-05-31,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-06-02,Guayaramerín,9,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-06-03,Guayaramerín,13,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-06-04,Guayaramerín,16,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-06-12,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-06-14,Guayaramerín,5,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-06-15,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-06-16,Guayaramerín,8,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-06-17,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-06-20,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-07-04,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-07-08,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-07-13,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-07-14,Guayaramerín,13,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-07-16,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-07-22,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-07-24,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-01,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-07,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-08,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-11,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-12,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-13,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-15,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-16,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-17,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-18,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-19,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-20,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-24,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-30,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-08-31,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-09-02,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-09-03,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-09-04,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-09-07,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-09-09,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-09-14,Guayaramerín,19,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-09-22,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-10-02,Guayaramerín,14,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-10-06,Guayaramerín,4,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-10-09,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-10-13,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-10-15,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-10-21,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-10-22,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-10-24,Guayaramerín,1,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-11-05,Guayaramerín,6,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-11-08,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-11-09,Guayaramerín,2,Guayaramerín,Beni,53.094915873843405,44446,85.6
80202,2021-11-12,Guayaramerín,3,Guayaramerín,Beni,53.094915873843405,44446,85.6
